epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
155,2393.3,1.44004,0.98483,0.86879,0.60961,0.4,0.40305,0.20769,2.65779,1.68503,0.87073,0.0004754,0.0004754,0.0004754
156,2408.19,1.85576,1.10878,0.8579,0.6254,0.4,0.40913,0.21261,2.6754,1.72271,0.88829,0.0004655,0.0004655,0.0004655
157,2423.05,1.40867,1.02863,0.90336,0.63285,0.4,0.4156,0.20322,2.67031,1.74279,0.8871,0.0004556,0.0004556,0.0004556
158,2438.05,1.53361,1.03338,0.89036,0.55882,0.35,0.35182,0.19917,2.64767,1.75098,0.87532,0.0004457,0.0004457,0.0004457
159,2452.84,1.70441,1.09285,0.83266,0.49295,0.45,0.37245,0.20723,2.61167,1.71658,0.85895,0.0004358,0.0004358,0.0004358
160,2468.7,1.5484,0.99307,0.76016,0.51279,0.36918,0.34295,0.1885,2.57696,1.68424,0.84111,0.0004259,0.0004259,0.0004259
161,2485.77,1.76847,1.26786,0.96184,0.48448,0.45,0.37432,0.19568,2.53607,1.6418,0.82328,0.000416,0.000416,0.000416
162,2502.69,1.46196,0.89714,0.83211,0.47184,0.35,0.33969,0.18643,2.5298,1.62197,0.81418,0.0004061,0.0004061,0.0004061
163,2519.13,1.47949,1.02224,0.83746,0.5139,0.45,0.36859,0.1746,2.54001,1.62738,0.80613,0.0003962,0.0003962,0.0003962
164,2534.87,1.57038,1.19809,0.87623,0.51698,0.45,0.37001,0.17906,2.53626,1.62406,0.80461,0.0003863,0.0003863,0.0003863
165,2550.85,1.65871,1.15931,0.88073,0.49209,0.45,0.33637,0.17556,2.55002,1.63904,0.80913,0.0003764,0.0003764,0.0003764
166,2566.11,1.34138,0.94176,0.85373,0.48719,0.45,0.34513,0.18821,2.60972,1.65054,0.82202,0.0003665,0.0003665,0.0003665
167,2581.08,1.55654,0.99024,0.89418,0.43152,0.4,0.30459,0.18629,2.64697,1.64675,0.83021,0.0003566,0.0003566,0.0003566
168,2596.68,1.42307,0.88043,0.85909,0.43075,0.4,0.30524,0.19307,2.66643,1.66138,0.83214,0.0003467,0.0003467,0.0003467
169,2613.07,1.3007,0.89218,0.84952,0.48199,0.45,0.34567,0.19775,2.68514,1.67679,0.83435,0.0003368,0.0003368,0.0003368
170,2628.61,1.60177,0.92371,0.83588,0.47976,0.45,0.34441,0.201,2.66229,1.67786,0.82697,0.0003269,0.0003269,0.0003269
171,2644.67,1.63642,1.0231,0.87872,0.54523,0.5,0.38289,0.21093,2.62172,1.65951,0.81714,0.000317,0.000317,0.000317
172,2660.81,1.37671,0.9613,0.86145,0.59936,0.55,0.447,0.21555,2.56384,1.6434,0.80411,0.0003071,0.0003071,0.0003071
173,2676.83,1.41798,0.94074,0.81391,0.58661,0.55,0.43014,0.20776,2.50018,1.63907,0.78937,0.0002972,0.0002972,0.0002972
174,2693.38,2.01576,1.13423,0.81874,0.54882,0.55,0.431,0.20486,2.45718,1.64163,0.77943,0.0002873,0.0002873,0.0002873
175,2709.05,1.17971,0.74361,0.83784,0.5431,0.55,0.44318,0.21442,2.44214,1.64624,0.77632,0.0002774,0.0002774,0.0002774
176,2724.79,1.69413,1.09748,0.83992,0.49327,0.5,0.37772,0.20311,2.4343,1.63823,0.77463,0.0002675,0.0002675,0.0002675
177,2740.02,1.83767,1.21873,0.87264,0.49646,0.5,0.41611,0.20537,2.44127,1.63171,0.77841,0.0002576,0.0002576,0.0002576
178,2755.44,1.46262,0.91036,0.858,0.4949,0.5,0.41565,0.20522,2.43622,1.62281,0.77833,0.0002477,0.0002477,0.0002477
179,2771.23,1.42473,0.87229,0.82663,0.49217,0.5,0.41519,0.20735,2.41323,1.61332,0.77758,0.0002378,0.0002378,0.0002378
